Image Name,Z-level,Pouch Height,Clone Genotype,Clone ID,Clone Area,Border Area,Center Area,Caspase Coverage,Caspase Border,Caspase Center,Clone Fluorescence IntDen,Center Fluorescence IntDen,Border Fluorescence IntDen
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,7,11,1,1,109.645,2721.195,2377.417,343.778,1.746,0.800,1536.634,248209.364,292954.003
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,8,11,1,1,0.946,2750.516,2322.776,427.813,1.310,0.146,163.413,241429.040,293121.635
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,9,11,1,1,1.164,2797.445,2353.916,443.601,10.041,0.509,189.242,239458.264,292736.313
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,10,11,1,1,9.531,2823.783,2424.345,399.510,10.695,0.291,1593.166,240851.347,287760.515
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,11,11,1,1,10.404,2838.043,2396.843,441.200,0.000,1.819,1684.986,229418.195,281169.651
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,12,11,1,1,1.819,2807.413,2391.168,0.000,0.000,0.000,270.002,228535.358,278522.159
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,13,11,1,1,416.026,2781.365,2396.843,0.000,0.000,0.000,49945.256,226529.222,271979.751
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,14,11,1,1,385.032,2746.733,2398.080,348.653,1.528,0.000,45493.456,216049.772,256831.830
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,15,11,1,1,1.528,2642.908,2373.415,269.493,3.420,0.000,183.930,206979.485,236581.004
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,16,11,1,1,3.420,255.233,0.000,255.233,3.056,0.000,388.669,0.000,14136.668
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,16,11,1,1,3.056,2171.878,1941.746,230.131,9.749,0.000,286.882,168433.112,190260.807
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,16,11,1,1,9.749,15.061,0.000,0.000,0.000,0.000,1180.923,0.000,488.347
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,17,11,1,1,15.061,108.918,0.000,108.918,7.858,0.000,488.347,0.000,4870.955
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,17,11,1,1,7.858,2182.136,1976.743,205.394,20.590,0.000,972.256,162697.365,180432.826
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,18,11,1,1,20.590,16.734,0.000,16.734,6.839,0.000,2431.403,0.000,869.959
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,18,11,1,1,6.839,2221.498,1973.469,248.030,30.558,29.248,572.018,152728.744,173220.178
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,7,11,1,2,1.310,566.270,0.000,0.000,0.000,0.000,149.734,0.000,53612.005
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,7,11,1,2,566.270,49.475,0.000,0.000,0.000,0.000,53612.005,0.000,2884.244
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,7,11,1,2,49.475,191.861,0.000,0.000,0.000,0.000,2884.244,0.000,14186.725
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,8,11,1,2,191.861,571.654,0.000,0.000,0.000,0.000,14186.725,0.000,53837.189
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,8,11,1,2,571.654,64.681,0.000,0.000,0.000,0.000,53837.189,0.000,4708.851
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,8,11,1,2,64.681,199.937,0.000,0.000,0.000,0.000,4708.851,0.000,15580.099
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,9,11,1,2,199.937,597.483,0.000,0.000,0.000,0.000,15580.099,0.000,56387.186
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,9,11,1,2,597.483,78.141,0.000,0.000,0.000,0.000,56387.186,0.000,7554.316
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,9,11,1,2,78.141,205.685,0.000,0.000,0.000,0.000,7554.316,0.000,15327.122
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,10,11,1,2,205.685,613.635,0.000,613.635,2.255,0.000,15327.122,0.000,57898.064
12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif12_5_19_Miwo_X_yw_or_ref2pRNAi_females_DCP1555_25minHSd3.lif - yw_020,10,11,1,2,2.255,90.728,0.000,0.000,0.000,0.000,329.008,0.000,7535.908
